Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3)
9.16E-01,1.45E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.16E-01,1.51E-01,5.93E-01,5.93E-01,4.92E-01,1.51E-01,6.15E-02,2.50E-02,6.15E-02,2.50E-02,1.27E-02,2.44E+05,8.27E+05,6.62E+05,9.01E+05,9.92E+05,8.76E+05,1.81E+05,1.57E+05,1.36E+04,1.07E+04,1.93E-04,1.93E-04,1.51E-04,1.33E-02,2.10E-02,1.81E-01
9.16E-01,1.57E-01,6.00E-01,6.00E-01,4.74E-01,1.57E-01,6.29E-02,2.51E-02,6.29E-02,2.51E-02,1.32E-02,2.44E+05,8.63E+05,6.90E+05,9.36E+05,1.02E+06,8.69E+05,1.94E+05,1.71E+05,1.34E+04,8.99E+03,2.03E-04,2.00E-04,1.46E-04,1.28E-02,2.09E-02,1.89E-01
9.16E-01,1.64E-01,6.01E-01,6.01E-01,4.72E-01,1.64E-01,6.53E-02,2.61E-02,6.53E-02,2.61E-02,1.37E-02,2.44E+05,8.91E+05,7.18E+05,9.65E+05,1.05E+06,8.82E+05,2.07E+05,1.84E+05,1.40E+04,8.56E+03,2.10E-04,2.07E-04,1.50E-04,1.24E-02,2.02E-02,1.84E-01
9.16E-01,1.70E-01,6.02E-01,6.02E-01,4.71E-01,1.70E-01,6.77E-02,2.70E-02,6.77E-02,2.70E-02,1.43E-02,2.44E+05,9.19E+05,7.46E+05,9.93E+05,1.08E+06,8.95E+05,2.21E+05,1.98E+05,1.45E+04,8.05E+03,2.18E-04,2.14E-04,1.53E-04,1.20E-02,1.96E-02,1.79E-01
9.16E-01,1.76E-01,6.02E-01,6.02E-01,4.69E-01,1.76E-01,7.00E-02,2.78E-02,7.00E-02,2.78E-02,1.48E-02,2.44E+05,9.48E+05,7.73E+05,1.02E+06,1.10E+06,9.07E+05,2.35E+05,2.13E+05,1.51E+04,7.46E+03,2.26E-04,2.21E-04,1.57E-04,1.16E-02,1.90E-02,1.75E-01
9.20E-01,1.45E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.20E-01,1.51E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.20E-01,1.57E-01,6.02E-01,6.02E-01,4.96E-01,1.57E-01,6.27E-02,2.50E-02,6.27E-02,2.50E-02,1.26E-02,2.44E+05,8.64E+05,6.90E+05,9.38E+05,1.02E+06,8.96E+05,1.95E+05,1.72E+05,1.32E+04,1.03E+04,2.03E-04,2.00E-04,1.53E-04,1.28E-02,2.10E-02,1.88E-01
9.20E-01,1.64E-01,6.03E-01,6.03E-01,4.93E-01,1.64E-01,6.50E-02,2.58E-02,6.50E-02,2.58E-02,1.31E-02,2.44E+05,8.94E+05,7.18E+05,9.67E+05,1.05E+06,9.07E+05,2.09E+05,1.85E+05,1.37E+04,9.75E+03,2.11E-04,2.07E-04,1.56E-04,1.24E-02,2.04E-02,1.84E-01
9.20E-01,1.70E-01,6.04E-01,6.04E-01,4.91E-01,1.70E-01,6.73E-02,2.67E-02,6.73E-02,2.67E-02,1.36E-02,2.44E+05,9.22E+05,7.46E+05,9.96E+05,1.08E+06,9.20E+05,2.23E+05,1.99E+05,1.42E+04,9.32E+03,2.19E-04,2.14E-04,1.60E-04,1.19E-02,1.97E-02,1.79E-01
9.20E-01,1.76E-01,6.04E-01,6.04E-01,4.89E-01,1.76E-01,6.97E-02,2.76E-02,6.97E-02,2.76E-02,1.41E-02,2.44E+05,9.51E+05,7.73E+05,1.02E+06,1.10E+06,9.33E+05,2.37E+05,2.13E+05,1.48E+04,8.82E+03,2.27E-04,2.21E-04,1.63E-04,1.16E-02,1.92E-02,1.75E-01
9.25E-01,1.45E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.51E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.57E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.64E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.70E-01,6.06E-01,6.06E-01,5.17E-01,1.70E-01,6.69E-02,2.64E-02,6.69E-02,2.64E-02,1.27E-02,2.44E+05,9.25E+05,7.46E+05,9.99E+05,1.08E+06,9.53E+05,2.25E+05,2.00E+05,1.39E+04,1.09E+04,2.20E-04,2.14E-04,1.68E-04,1.19E-02,2.00E-02,1.81E-01
9.25E-01,1.76E-01,6.07E-01,6.07E-01,5.15E-01,1.76E-01,6.92E-02,2.72E-02,6.92E-02,2.72E-02,1.32E-02,2.44E+05,9.54E+05,7.73E+05,1.03E+06,1.10E+06,9.67E+05,2.39E+05,2.14E+05,1.44E+04,1.05E+04,2.28E-04,2.21E-04,1.72E-04,1.15E-02,1.94E-02,1.77E-01
9.30E-01,1.45E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.30E-01,1.51E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.30E-01,1.57E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.30E-01,1.64E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.30E-01,1.70E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.30E-01,1.76E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
